age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_encoded,marital_encoded,education_encoded,housing_encoded,loan_encoded,contact_encoded,month_encoded,dayofweek_encoded,poutcome_encoded
56,1,-1,0,1.1,93.994,-36.4,4.857,5191,3,1,0,0,0,1,6,1,1
57,1,-1,0,1.1,93.994,-36.4,4.857,5191,7,1,3,0,0,1,6,1,1
37,1,-1,0,1.1,93.994,-36.4,4.857,5191,7,1,3,1,0,1,6,1,1
40,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,1,0,0,1,6,1,1
56,1,-1,0,1.1,93.994,-36.4,4.857,5191,7,1,3,0,1,1,6,1,1
45,1,-1,0,1.1,93.994,-36.4,4.857,5191,7,1,2,0,0,1,6,1,1
59,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,5,0,0,1,6,1,1
24,1,-1,0,1.1,93.994,-36.4,4.857,5191,9,2,5,1,0,1,6,1,1
25,1,-1,0,1.1,93.994,-36.4,4.857,5191,7,2,3,1,0,1,6,1,1
25,1,-1,0,1.1,93.994,-36.4,4.857,5191,7,2,3,1,0,1,6,1,1
29,1,-1,0,1.1,93.994,-36.4,4.857,5191,1,2,3,0,1,1,6,1,1
57,1,-1,0,1.1,93.994,-36.4,4.857,5191,3,0,0,1,0,1,6,1,1
35,1,-1,0,1.1,93.994,-36.4,4.857,5191,1,1,1,1,0,1,6,1,1
54,1,-1,0,1.1,93.994,-36.4,4.857,5191,5,1,2,1,1,1,6,1,1
35,1,-1,0,1.1,93.994,-36.4,4.857,5191,1,1,1,1,0,1,6,1,1
46,1,-1,0,1.1,93.994,-36.4,4.857,5191,1,1,1,1,1,1,6,1,1
50,1,-1,0,1.1,93.994,-36.4,4.857,5191,1,1,2,1,1,1,6,1,1
39,1,-1,0,1.1,93.994,-36.4,4.857,5191,4,2,2,0,0,1,6,1,1
30,1,-1,0,1.1,93.994,-36.4,4.857,5191,10,1,3,0,0,1,6,1,1
55,1,-1,0,1.1,93.994,-36.4,4.857,5191,1,1,0,1,0,1,6,1,1
55,1,-1,0,1.1,93.994,-36.4,4.857,5191,5,2,3,1,0,1,6,1,1
41,1,-1,0,1.1,93.994,-36.4,4.857,5191,9,2,3,1,0,1,6,1,1
37,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,3,1,0,1,6,1,1
35,1,-1,0,1.1,93.994,-36.4,4.857,5191,9,1,6,0,1,1,6,1,1
39,1,-1,0,1.1,93.994,-36.4,4.857,5191,6,1,2,0,0,1,6,1,1
54,2,-1,0,1.1,93.994,-36.4,4.857,5191,9,2,6,0,0,1,6,1,1
54,1,-1,0,1.1,93.994,-36.4,4.857,5191,4,1,0,1,0,1,6,1,1
54,1,-1,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,1,6,1,1
34,1,-1,0,1.1,93.994,-36.4,4.857,5191,7,1,3,0,0,1,6,1,1
52,1,-1,0,1.1,93.994,-36.4,4.857,5191,9,1,2,1,0,1,6,1,1
41,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,6,1,0,1,6,1,1
56,1,-1,0,1.1,93.994,-36.4,4.857,5191,9,1,0,1,0,1,6,1,1
32,1,-1,0,1.1,93.994,-36.4,4.857,5191,2,1,3,1,0,1,6,1,1
38,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,2,5,0,0,1,6,1,1
57,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,6,0,1,1,6,1,1
44,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,6,1,0,1,6,1,1
42,1,-1,0,1.1,93.994,-36.4,4.857,5191,9,2,5,0,0,1,6,1,1
57,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,6,1,1,1,6,1,1
40,1,-1,0,1.1,93.994,-36.4,4.857,5191,1,1,2,0,1,1,6,1,1
35,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,6,1,0,1,6,1,1
45,2,-1,0,1.1,93.994,-36.4,4.857,5191,1,1,2,1,0,1,6,1,1
54,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,3,0,0,1,6,1,1
39,1,-1,0,1.1,93.994,-36.4,4.857,5191,3,1,0,0,1,1,6,1,1
60,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,1,3,0,0,1,6,1,1
53,1,-1,0,1.1,93.994,-36.4,4.857,5191,0,2,5,0,0,1,6,1,1
55,2,-1,0,1.1,93.994,-36.4,4.857,5191,1,1,0,0,0,1,6,1,1
55,1,-1,0,1.1,93.994,-36.4,4.857,5191,9,1,5,1,0,1,6,1,1
50,1,-1,0,1.1,93.994,-36.4,4.857,5191,4,1,6,0,1,1,6,1,1
45,1,-1,0,1.1,93.994,-36.4,4.857,5191,7,1,3,1,0,1,6,1,1
